005F;Pc
0DBA;Lo
0DBB;Lo
0DBD;Lo
0DC0;Lo
0DC1;Lo
0DC2;Lo
0DC3;Lo
0DC4;Lo
0DC5;Lo
0DC6;Lo
0DCF;Mc
0DD0;Mc
0DD1;Mc
0DD8;Mc
0DD9;Mc
0DDA;Mc
0DDB;Mc
0DDC;Mc
0DDD;Mc
0DDE;Mc
0DDF;Mc
0DF2;Mc
0DF3;Mc
0E01;Lo
0E02;Lo
0E03;Lo
0E04;Lo
0E05;Lo
0E06;Lo
0E07;Lo
0E08;Lo
0E09;Lo
0E0A;Lo
0E0B;Lo
0E0C;Lo
0E0D;Lo
0E0E;Lo
0E0F;Lo
0E10;Lo
0E11;Lo
0E12;Lo
0E13;Lo
0E14;Lo
0E15;Lo
0E16;Lo
0E17;Lo
0E18;Lo
0E19;Lo
0E1A;Lo
0E1B;Lo
0E1C;Lo
0E1D;Lo
0E1E;Lo
0E1F;Lo
0E20;Lo
0E21;Lo
0E22;Lo
0E23;Lo
0E24;Lo
0E25;Lo
0E26;Lo
0E27;Lo
0E28;Lo
0E29;Lo
0E2A;Lo
0E2B;Lo
0E2C;Lo
0E2D;Lo
0E2E;Lo
0E2F;Lo
0E30;Lo
0E32;Lo
0E33;Lo
0E40;Lo
0E41;Lo
0E42;Lo
0E43;Lo
0E44;Lo
0E45;Lo
0E81;Lo
0E82;Lo
0E84;Lo
0E87;Lo
0E88;Lo
0E8A;Lo
0E8D;Lo
0E94;Lo
0E95;Lo
0E96;Lo
0E97;Lo
0E99;Lo
0E9A;Lo
0E9B;Lo
0E9C;Lo
0E9D;Lo
0E9E;Lo
0E9F;Lo
0EA1;Lo
0EA2;Lo
0EA3;Lo
0EA5;Lo
0EA7;Lo
0EAA;Lo
0EAB;Lo
0EAD;Lo
0EAE;Lo
0EAF;Lo
0EB0;Lo
0EB2;Lo
0EB3;Lo
0EBD;Lo
0EC0;Lo
0EC1;Lo
0EC2;Lo
0EC3;Lo
0EC4;Lo
0EDC;Lo
0EDD;Lo
0EDE;Lo
0EDF;Lo
0F00;Lo
0F3E;Mc
0F3F;Mc
0F40;Lo
0F41;Lo
0F42;Lo
0F43;Lo
0F44;Lo
0F45;Lo
0F46;Lo
0F47;Lo
0F49;Lo
0F4A;Lo
0F4B;Lo
0F4C;Lo
0F4D;Lo
0F4E;Lo
0F4F;Lo
0F50;Lo
0F51;Lo
0F52;Lo
0F53;Lo
0F54;Lo
0F55;Lo
0F56;Lo
0F57;Lo
0F58;Lo
0F59;Lo
0F5A;Lo
0F5B;Lo
0F5C;Lo
0F5D;Lo
0F5E;Lo
0F5F;Lo
0F60;Lo
0F61;Lo
0F62;Lo
0F63;Lo
0F64;Lo
0F65;Lo
0F66;Lo
0F67;Lo
0F68;Lo
0F69;Lo
0F6A;Lo
0F6B;Lo
0F6C;Lo
0F7F;Mc
0F88;Lo
0F89;Lo
0F8A;Lo
0F8B;Lo
0F8C;Lo
1000;Lo
1001;Lo
1002;Lo
1003;Lo
1004;Lo
1005;Lo
1006;Lo
1007;Lo
1008;Lo
1009;Lo
100A;Lo
100B;Lo
100C;Lo
100D;Lo
100E;Lo
100F;Lo
1010;Lo
1011;Lo
1012;Lo
1013;Lo
1014;Lo
1015;Lo
1016;Lo
1017;Lo
1018;Lo
1019;Lo
101A;Lo
101B;Lo
101C;Lo
101D;Lo
101E;Lo
101F;Lo
1020;Lo
1021;Lo
1022;Lo
1023;Lo
1024;Lo
1025;Lo
1026;Lo
1027;Lo
1028;Lo
1029;Lo
102A;Lo
102B;Mc
102C;Mc
1031;Mc
1038;Mc
103B;Mc
103C;Mc
103F;Lo
1050;Lo
1051;Lo
1052;Lo
1053;Lo
1054;Lo
1055;Lo
1056;Mc
1057;Mc
105A;Lo
105B;Lo
105C;Lo
105D;Lo
1061;Lo
1062;Mc
1063;Mc
1064;Mc
1065;Lo
1066;Lo
1067;Mc
1068;Mc
1069;Mc
106A;Mc
106B;Mc
106C;Mc
106D;Mc
106E;Lo
106F;Lo
1070;Lo
1075;Lo
1076;Lo
1077;Lo
1078;Lo
1079;Lo
107A;Lo
107B;Lo
107C;Lo
107D;Lo
107E;Lo
107F;Lo
1080;Lo
1081;Lo
1083;Mc
1084;Mc
1087;Mc
1088;Mc
1089;Mc
108A;Mc
108B;Mc
108C;Mc
108E;Lo
108F;Mc
109A;Mc
109B;Mc
109C;Mc
10D0;Lo
10D1;Lo
10D2;Lo
10D3;Lo
10D4;Lo
10D5;Lo
10D6;Lo
10D7;Lo
10D8;Lo
10D9;Lo
10DA;Lo
10DB;Lo
10DC;Lo
10DD;Lo
10DE;Lo
10DF;Lo
10E0;Lo
10E1;Lo
10E2;Lo
10E3;Lo
10E4;Lo
10E5;Lo
10E6;Lo
10E7;Lo
10E8;Lo
10E9;Lo
10EA;Lo
10EB;Lo
10EC;Lo
10ED;Lo
10EE;Lo
10EF;Lo
10F0;Lo
10F1;Lo
10F2;Lo
10F3;Lo
10F4;Lo
10F5;Lo
10F6;Lo
10F7;Lo
10F8;Lo
10F9;Lo
10FA;Lo
10FD;Lo
10FE;Lo
10FF;Lo
1100;Lo
1101;Lo
1102;Lo
1103;Lo
1104;Lo
1105;Lo
1106;Lo
1107;Lo
1108;Lo
1109;Lo
110A;Lo
110B;Lo
110C;Lo
110D;Lo
110E;Lo
110F;Lo
1110;Lo
1111;Lo
1112;Lo
1113;Lo
1114;Lo
1115;Lo
1116;Lo
1117;Lo
1118;Lo
1119;Lo
111A;Lo
111B;Lo
111C;Lo
111D;Lo
111E;Lo
111F;Lo
1120;Lo
1121;Lo
1122;Lo
1123;Lo
1124;Lo
1125;Lo
1126;Lo
1127;Lo
1128;Lo
1129;Lo
112A;Lo
112B;Lo
112C;Lo
112D;Lo
112E;Lo
112F;Lo
1130;Lo
1131;Lo
1132;Lo
1133;Lo
1134;Lo
1135;Lo
1136;Lo
1137;Lo
1138;Lo
1139;Lo
113A;Lo
113B;Lo
113C;Lo
113D;Lo
113E;Lo
113F;Lo
1140;Lo
1141;Lo
1142;Lo
1143;Lo
1144;Lo
1145;Lo
1146;Lo
1147;Lo
1148;Lo
1149;Lo
114A;Lo
114B;Lo
114C;Lo
114D;Lo
114E;Lo
114F;Lo
1150;Lo
1151;Lo
1152;Lo
1153;Lo
1154;Lo
1155;Lo
1156;Lo
1157;Lo
1158;Lo
1159;Lo
115A;Lo
115B;Lo
115C;Lo
115D;Lo
115E;Lo
115F;Lo
1160;Lo
1161;Lo
1162;Lo
1163;Lo
1164;Lo
1165;Lo
1166;Lo
1167;Lo
1168;Lo
1169;Lo
116A;Lo
116B;Lo
116C;Lo
116D;Lo
116E;Lo
116F;Lo
1170;Lo
1171;Lo
1172;Lo
1173;Lo
1174;Lo
1175;Lo
1176;Lo
1177;Lo
1178;Lo
1179;Lo
117A;Lo
117B;Lo
117C;Lo
117D;Lo
117E;Lo
117F;Lo
1180;Lo
1181;Lo
1182;Lo
1183;Lo
1184;Lo
1185;Lo
1186;Lo
1187;Lo
1188;Lo
1189;Lo
118A;Lo
118B;Lo
118C;Lo
118D;Lo
118E;Lo
118F;Lo
1190;Lo
1191;Lo
1192;Lo
